"","V1"
"1",2.2
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",13.8666666666667
"10",0
"11",0
"12",0
"13",0
"14",0
"15",4.84
"16",2.68
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",3.2
"25",11.2
"26",34.7272727272727
"27",0.851851851851852
"28",28.24
"29",0
"30",0
"31",0
"32",0.966666666666667
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",18.9117647058824
"40",0
"41",6.48148148148148
"42",0
"43",18.72
"44",0
"45",1.83333333333333
"46",0.233333333333333
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",9.85714285714286
"56",3.85185185185185
"57",0.25
"58",0
"59",0
"60",0
"61",6.96
"62",0
"63",0
"64",27.84
"65",0
"66",1.29411764705882
"67",18.7222222222222
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",10.7142857142857
"75",25.8461538461538
"76",18.5333333333333
"77",32.21875
"78",0
"79",0
"80",0
"81",16.08
"82",0
"83",0
"84",27.84
"85",0
"86",0
"87",12.5666666666667
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",1.25
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0.966666666666667
"103",0
"104",0
"105",0
"106",29.8571428571429
"107",0
"108",0
"109",0
"110",19.3333333333333
"111",0
"112",0
"113",0
"114",0
"115",22.12
"116",0
"117",0
"118",0
"119",5.45833333333333
"120",20.4166666666667
"121",0
"122",2.1
"123",20.40625
"124",0.72
"125",1.77272727272727
"126",0
"127",0
"128",26.88
"129",0
"130",0
"131",0
"132",0
"133",0
"134",21.9
"135",1.16666666666667
"136",0
"137",0
"138",25.0333333333333
"139",15.8529411764706
"140",0
"141",0.766666666666667
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",22.1379310344828
"149",0
"150",0
"151",5.12
"152",5.64
"153",0
"154",0
"155",0
"156",26.12
"157",2.16
"158",0
"159",24.9333333333333
"160",3.58333333333333
"161",14.92
"162",0.535714285714286
"163",0
"164",16.5
"165",0
"166",0
"167",20.8666666666667
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",12.7
"175",0
"176",0
"177",3.42857142857143
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",3.61538461538462
"185",0
"186",0
"187",0
"188",0
"189",0.96
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",25.0555555555556
"201",0
"202",0
"203",0
"204",0.266666666666667
"205",21.5
"206",0
"207",0
"208",23.5833333333333
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",30.5333333333333
"216",23.32
"217",0
"218",9.92307692307692
"219",0
"220",3.28
"221",0
"222",14.1333333333333
"223",0
"224",0
"225",0.409090909090909
"226",3.96551724137931
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",32.36
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",18.6388888888889
"241",11.9411764705882
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",7.07142857142857
"249",0.277777777777778
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",2.72222222222222
"258",0
"259",0
"260",9.85714285714286
"261",15.5555555555556
"262",7.79310344827586
"263",20.5625
"264",0
"265",0
"266",14.6296296296296
"267",1.1
"268",0
"269",0
"270",0
"271",4.2
"272",0
"273",28.2173913043478
"274",20.258064516129
"275",0
"276",0
"277",29.4666666666667
"278",0
"279",0
"280",0
"281",4.88
"282",30.8888888888889
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",20.75
"290",0
"291",2.25
"292",0
"293",0
"294",0
"295",18
"296",0
"297",0
"298",0
"299",2.96
"300",17.0555555555556
"301",0
"302",0
"303",3.91666666666667
"304",11.3684210526316
"305",9.33333333333333
"306",0
"307",0
"308",0
"309",0
"310",0
"311",2.76190476190476
"312",28.9666666666667
"313",25.1666666666667
"314",0
"315",0
"316",15.5357142857143
"317",0
"318",0
"319",0
"320",18.5483870967742
"321",13.8333333333333
"322",0
"323",0
"324",26.3611111111111
"325",0.4
"326",0
"327",0
"328",0
"329",21.4642857142857
"330",0
"331",0
"332",0
"333",22.3
"334",0
"335",0
"336",0
"337",21.3333333333333
"338",4.48
"339",0
"340",4.36666666666667
"341",0
"342",0
"343",19.8666666666667
"344",30.7777777777778
"345",0
"346",0
"347",19.8620689655172
"348",4.65217391304348
"349",0
"350",4.4
"351",8.24242424242424
"352",0
"353",0
"354",0
"355",3.4
"356",14.2
"357",0
"358",0
"359",0
"360",14.4
"361",0.25
"362",0
"363",23.3333333333333
"364",1.73333333333333
"365",0
"366",0
"367",13.2
"368",7
"369",30.5483870967742
"370",0
"371",0
"372",0
"373",33.0555555555556
"374",0
"375",0
"376",8.96428571428571
"377",0
"378",0
"379",11.9166666666667
"380",0
"381",0
"382",0
"383",3.80769230769231
"384",30.9259259259259
"385",0
"386",0
"387",0
"388",13.1851851851852
"389",1.20689655172414
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",26.8666666666667
"402",0
"403",0
"404",29.4333333333333
"405",0
"406",0
"407",0
"408",2.08333333333333
"409",0
"410",0
"411",0
"412",28.8484848484848
"413",0
"414",3.32142857142857
"415",21.6
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0.8
"422",0
"423",7.63333333333333
"424",0
"425",6.36666666666667
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",3.47826086956522
"434",0
"435",0
"436",0
"437",0
"438",27.1071428571429
"439",0
"440",18.609756097561
"441",0
"442",6.55555555555556
"443",0
"444",10.3636363636364
"445",26.8571428571429
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0.518518518518518
"453",0
"454",0
"455",0
"456",29.25
"457",0
"458",0
"459",0
"460",2.33333333333333
"461",26.3571428571429
"462",26.8571428571429
"463",17.0689655172414
"464",22.6333333333333
"465",4.26666666666667
"466",0
"467",0
"468",5.63333333333333
"469",29.88
"470",0
"471",0.607142857142857
"472",0
"473",0
"474",8.84
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",21.1388888888889
"484",0.52
"485",14.7666666666667
"486",0
"487",0
"488",0
"489",16.4705882352941
"490",0
"491",0
"492",0
"493",11.5277777777778
"494",0
"495",0
"496",12.1666666666667
"497",0
"498",0
"499",0
"500",0
"501",0
"502",20.1
"503",19.6944444444444
"504",0
"505",0
"506",33.04
"507",7.52941176470588
"508",12.3461538461538
"509",1.73684210526316
"510",0.5
"511",28.16
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",2.36666666666667
"526",8.6
"527",0
"528",0
"529",0
"530",0
"531",2.88
"532",0
"533",0
"534",11.5333333333333
"535",0
"536",0
"537",0.52
"538",0
"539",0
"540",0
"541",0
"542",0.135135135135135
"543",0
"544",0
"545",0
"546",30.25
"547",30.5555555555556
"548",0.259259259259259
"549",0
"550",4.58333333333333
"551",0
"552",0
"553",20.3
"554",10
"555",16.8857142857143
"556",0
"557",0
"558",0
"559",11.3
"560",0
"561",0
"562",0
"563",2.07407407407407
"564",4.84615384615385
"565",0
"566",0
"567",0
"568",15.9411764705882
"569",12.44
"570",0
"571",0
"572",17.4333333333333
"573",4.72
"574",2.62962962962963
"575",0
"576",0
"577",0
"578",0.48
"579",0
"580",0
"581",2.5
"582",0
"583",24.44
"584",4.11111111111111
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",2.1
"596",1.44
"597",0
"598",0
"599",0
"600",0
"601",1.84
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",25.6969696969697
"611",5.78571428571429
"612",0
"613",0
"614",0
"615",0
"616",10.0833333333333
"617",0
"618",0
"619",12.7
"620",0
"621",0
"622",34.5666666666667
"623",0
"624",15.1944444444444
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",14.12
"632",0
"633",0
"634",17.4736842105263
"635",6.92592592592593
"636",22.4666666666667
"637",0
"638",26.1944444444444
"639",0
"640",0
"641",0
"642",0
"643",18.8095238095238
"644",0
"645",0
"646",16.3666666666667
"647",0
"648",0
"649",3.41379310344828
"650",1.15789473684211
"651",14.9666666666667
"652",3.94117647058824
"653",0
"654",0
"655",0
"656",0
"657",0.766666666666667
"658",16.7777777777778
"659",23.4166666666667
"660",0
"661",0
"662",0
"663",0
"664",30.2666666666667
"665",0
"666",0
"667",0
"668",2.02777777777778
"669",0
"670",1.3
"671",0.758620689655172
"672",0
"673",24
"674",17.7428571428571
"675",0
"676",12.9
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0
"683",30.9166666666667
"684",27.9642857142857
"685",8.80555555555556
"686",1.21428571428571
"687",0
"688",0
"689",0
"690",0
"691",0
"692",0
"693",0
"694",0
"695",5.72727272727273
"696",26.9032258064516
"697",23.2916666666667
"698",0
"699",20.5666666666667
"700",0
"701",0.333333333333333
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",23.7666666666667
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",25.1
"718",0
"719",0
"720",0
"721",0
"722",0
"723",18.0714285714286
"724",0
"725",0
"726",0
"727",2.13333333333333
"728",0
"729",0
"730",8.10714285714286
"731",0.212121212121212
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",0
"739",0
"740",0
"741",18.0769230769231
"742",21.5
"743",0
"744",8
"745",0
"746",26.56
"747",0
"748",0
"749",2
"750",0
"751",0
"752",0
"753",17.2
"754",0
"755",0
"756",0
"757",0
"758",0
"759",0
"760",0
"761",0.275862068965517
"762",0
"763",0
"764",0
"765",0
"766",0
"767",0
"768",0
"769",0
"770",0
"771",0
"772",0
"773",1.8
"774",0
"775",4.58620689655172
"776",0
"777",0
"778",29.5555555555556
"779",0
"780",0
"781",0
"782",0
"783",0
"784",23.64
"785",8.17857142857143
"786",0
"787",32
"788",0
"789",0
"790",6.88
"791",24.6333333333333
"792",4.31034482758621
"793",8.39393939393939
"794",0
"795",28.1
"796",0
"797",0
"798",18.8666666666667
"799",0
"800",15.24
"801",0
"802",0
"803",0
"804",0
"805",0
"806",0
"807",11.96
"808",0
"809",0
"810",0
"811",0
"812",0
"813",0
"814",28.96
"815",0
"816",0
"817",0
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",0
"825",0
