"","V1"
"1",0.833333333333333
"2",0
"3",95.6944444444444
"4",0
"5",0
"6",100
"7",0
"8",0
"9",17.7666666666667
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0.96
"26",1.66666666666667
"27",0
"28",26.52
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",6.66666666666667
"42",0
"43",2.08
"44",32.8571428571429
"45",0
"46",30.3333333333333
"47",0
"48",0
"49",0
"50",0
"51",39.7916666666667
"52",0
"53",0
"54",0
"55",0
"56",96.1481481481482
"57",2.58333333333333
"58",0
"59",0
"60",59.1666666666667
"61",26.2
"62",0
"63",0
"64",26.64
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",10.3461538461538
"76",0
"77",3.46875
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",24.08
"85",99.5
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0.0555555555555556
"95",0
"96",0
"97",100
"98",0
"99",0
"100",0
"101",0
"102",51.2666666666667
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",3.61111111111111
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",26.4090909090909
"126",98.8461538461538
"127",100
"128",0
"129",0
"130",0
"131",100
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",8.63333333333333
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",12.8965517241379
"149",0
"150",0
"151",50
"152",0
"153",0
"154",0
"155",0
"156",0
"157",54.36
"158",100
"159",32.2
"160",0
"161",1.4
"162",0
"163",0
"164",0
"165",0
"166",0
"167",5.46666666666667
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",31.5238095238095
"178",0
"179",0
"180",86.76
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",91.2571428571429
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",9.16666666666667
"201",58.4
"202",0
"203",0
"204",95.1333333333333
"205",0
"206",0
"207",0
"208",10.5555555555556
"209",0
"210",0
"211",0
"212",0
"213",0
"214",15.5454545454545
"215",29.2
"216",0
"217",100
"218",0
"219",0
"220",1
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0.551724137931034
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0.08
"234",80.52
"235",0
"236",100
"237",0
"238",73.2
"239",0
"240",80.75
"241",23.8235294117647
"242",0
"243",100
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",84.7
"255",0
"256",0
"257",0
"258",0
"259",0
"260",13.9642857142857
"261",28
"262",60.0689655172414
"263",14.21875
"264",0
"265",22.2
"266",0
"267",0
"268",82.3125
"269",0
"270",0
"271",7.48
"272",0
"273",0
"274",0
"275",0
"276",99.2666666666667
"277",0
"278",0
"279",0
"280",0
"281",2.24
"282",22.9259259259259
"283",0
"284",99.8333333333333
"285",0
"286",0
"287",100
"288",0
"289",2.11111111111111
"290",0
"291",15.4642857142857
"292",0
"293",80.3333333333333
"294",0
"295",2.33333333333333
"296",0
"297",0
"298",0
"299",0
"300",0
