"","V1"
"1",52.5
"2",0
"3",0
"4",14.2
"5",0
"6",0
"7",0.65625
"8",0
"9",12
"10",1.80769230769231
"11",2.47368421052632
"12",39.1034482758621
"13",31.8611111111111
"14",0
"15",45.64
"16",59.28
"17",0
"18",23.2333333333333
"19",0
"20",0
"21",0
"22",15.8846153846154
"23",0
"24",51.8
"25",40.16
"26",48.1515151515151
"27",92.2962962962963
"28",36.84
"29",0
"30",5.39285714285714
"31",61.1
"32",11.7
"33",0
"34",2.58823529411765
"35",31.48
"36",11.3666666666667
"37",0
"38",0
"39",61
"40",0
"41",70.5185185185185
"42",0
"43",51.04
"44",1.66666666666667
"45",31.3333333333333
"46",46.8666666666667
"47",22.4166666666667
"48",0
"49",0
"50",63.4285714285714
"51",0
"52",0
"53",3.45
"54",1.38709677419355
"55",59.6666666666667
"56",0
"57",0.0833333333333333
"58",4.76923076923077
"59",35.9333333333333
"60",3.26666666666667
"61",33.08
"62",0
"63",0.0666666666666667
"64",34.4
"65",0
"66",17.6470588235294
"67",63.7222222222222
"68",0
"69",0
"70",0
"71",0
"72",27.5925925925926
"73",16.3703703703704
"74",45.1071428571429
"75",47.9230769230769
"76",50.8333333333333
"77",50
"78",0
"79",0
"80",0
"81",83.92
"82",33
"83",0
"84",38.32
"85",0
"86",0
"87",53.9
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",40.1111111111111
"95",0
"96",0
"97",0
"98",2.27777777777778
"99",35.8387096774194
"100",0
"101",0
"102",11.2666666666667
"103",0
"104",3.26666666666667
"105",0
"106",66.1428571428571
"107",6.89285714285714
"108",6.1
"109",0
"110",32.6944444444444
"111",51.84
"112",0
"113",18.9130434782609
"114",4.56
"115",77.92
"116",0
"117",4.1
"118",0
"119",42.5
"120",36.5833333333333
"121",5.52777777777778
"122",48.5333333333333
"123",63.9375
"124",16.12
"125",5.36363636363636
"126",0
"127",0
"128",64.2
"129",0
"130",9.74285714285714
"131",0
"132",0
"133",0
"134",61.7
"135",31.5
"136",0
"137",0
"138",54.1333333333333
"139",20.8529411764706
"140",0
"141",52.5
"142",0
"143",0
"144",0
"145",0.76
"146",0
"147",1.08695652173913
"148",61.3793103448276
"149",16.5862068965517
"150",0
"151",12
"152",28.32
"153",0
"154",0
"155",0
"156",71.44
"157",0.92
"158",0
"159",34.6666666666667
"160",45.1388888888889
"161",82.16
"162",20.1071428571429
"163",0
"164",52.4722222222222
"165",0
"166",0
"167",73.6333333333333
"168",3.75
"169",0
"170",3.23333333333333
"171",0
"172",0
"173",0.64
"174",51.9
"175",0
"176",12.2
"177",19.2857142857143
"178",0
"179",0
"180",0
"181",0
"182",1.36
"183",41.7307692307692
"184",42.8846153846154
"185",0
"186",9.73333333333333
"187",0
"188",0
"189",63
"190",10.4
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",61.2777777777778
"201",2.6
"202",0
"203",0
"204",2.83333333333333
"205",34.1333333333333
"206",0
"207",40.24
"208",65.9166666666667
"209",0
"210",0
"211",0
"212",0
"213",13.6944444444444
"214",0.454545454545455
"215",35.9666666666667
"216",55.56
"217",0
"218",1.84615384615385
"219",0
"220",20.24
"221",20.6153846153846
"222",36.2
"223",0
"224",0
"225",54.3181818181818
"226",47.5172413793103
"227",0
"228",37.7666666666667
"229",0
"230",1
"231",0
"232",0
"233",60.48
"234",0
"235",0
"236",0
"237",1.86666666666667
"238",4.32
"239",0
"240",0.25
"241",15.0588235294118
"242",0
"243",0
"244",0
"245",20.78125
"246",0
"247",76.0967741935484
"248",58.2142857142857
"249",14.1388888888889
"250",0
"251",8.2
"252",0
"253",1.05555555555556
"254",0
"255",0
"256",0
"257",56.6944444444444
"258",16.9047619047619
"259",0
"260",17.6071428571429
"261",47.5
