"","V1"
"1",28.7666666666667
"2",0
"3",0
"4",27.7333333333333
"5",0
"6",0
"7",60.53125
"8",0
"9",20.5666666666667
"10",0
"11",14.1578947368421
"12",5.37931034482759
"13",9.86111111111111
"14",0
"15",15.52
"16",37.96
"17",0
"18",48.9333333333333
"19",0
"20",0
"21",0
"22",28.6538461538462
"23",0
"24",28.9
"25",12.24
"26",11.6060606060606
"27",6.22222222222222
"28",8.16
"29",0
"30",0
"31",32.5
"32",14.4
"33",0
"34",47.4117647058824
"35",5.4
"36",2.16666666666667
"37",0
"38",0
"39",20.0588235294118
"40",0
"41",1.62962962962963
"42",0
"43",20.44
"44",4.19047619047619
"45",34.4333333333333
"46",5.16666666666667
"47",0.583333333333333
"48",0
"49",0.642857142857143
"50",7.35714285714286
"51",0
"52",0
"53",15
"54",7.61290322580645
"55",28.4761904761905
"56",0
"57",3.16666666666667
"58",53.6153846153846
"59",11.2666666666667
"60",0
"61",0
"62",0
"63",4.03333333333333
"64",4.32
"65",0
"66",13.6764705882353
"67",15.7777777777778
"68",0
"69",0
"70",0
"71",1.88
"72",26.6296296296296
"73",26.037037037037
"74",11.8214285714286
"75",0
"76",24.1666666666667
"77",0
"78",0
"79",0
"80",0
"81",0
"82",10.5555555555556
"83",0
"84",9.04
"85",0
"86",0
"87",26.6666666666667
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",13.9166666666667
"95",0
"96",0
"97",0
"98",11.8888888888889
"99",6.80645161290323
"100",0
"101",0
"102",6.36666666666667
"103",0
"104",18.2
"105",0
"106",3.92857142857143
"107",25.7142857142857
"108",0.466666666666667
"109",0
"110",4
"111",0
"112",0
"113",6.56521739130435
"114",18.88
"115",0
"116",0
"117",5.46666666666667
"118",0
"119",30.0416666666667
"120",16.4166666666667
"121",66.0277777777778
"122",28.5
"123",12.84375
"124",78.12
"125",1.86363636363636
"126",0
"127",0
"128",9
"129",0
"130",3.97142857142857
"131",0
"132",0
"133",0.6
"134",16.3666666666667
"135",1.53333333333333
"136",0
"137",0
"138",7.7
"139",25.2941176470588
"140",5.5
"141",16.9666666666667
"142",0
"143",47.1666666666667
"144",0
"145",12.24
"146",64.375
"147",15.4347826086957
"148",1.37931034482759
"149",0
"150",0
"151",1.88
"152",16.96
"153",0
"154",0
"155",0
"156",2.48
"157",0.28
"158",0
"159",7.66666666666667
"160",14.6388888888889
"161",1.52
"162",20.3928571428571
"163",62.6
"164",19
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",18.72
"174",4.16666666666667
"175",0
"176",7.56
"177",0.476190476190476
"178",0
"179",0
"180",0
"181",0
"182",9.2
"183",13.1153846153846
"184",31.9230769230769
"185",0
"186",0
"187",0
"188",0
"189",16.48
"190",26.0666666666667
"191",10.6774193548387
"192",0
"193",0
"194",0
"195",0
"196",1.26666666666667
"197",0
"198",0
"199",0
"200",4.27777777777778
"201",0
"202",0
"203",0
"204",0
"205",19.3333333333333
"206",0
"207",7.36
"208",0
"209",0
"210",0
"211",1.3125
"212",0
"213",14.9166666666667
"214",0.318181818181818
"215",3.73333333333333
"216",13.92
"217",0
"218",60.3589743589744
"219",0.384615384615385
"220",22.32
"221",0
"222",24.3666666666667
"223",0
"224",0
"225",38.7727272727273
"226",36.448275862069
"227",0
"228",31.2666666666667
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0.266666666666667
"238",0
"239",0
"240",0
"241",8.52941176470588
"242",0
"243",0
"244",2.08823529411765
"245",4.15625
"246",0
"247",0.451612903225806
"248",32.2142857142857
"249",14.5833333333333
"250",0
"251",47.96
"252",0
"253",6.55555555555556
"254",0
"255",11.5806451612903
"256",5.90625
"257",34.2222222222222
"258",1.66666666666667
"259",0
"260",1.67857142857143
"261",2.44444444444444
"262",6.44827586206897
"263",5.53125
"264",0.6
"265",4.28
"266",11.7777777777778
"267",29.7
"268",0
"269",0
"270",1.60714285714286
"271",22.92
"272",3.52173913043478
"273",6.91304347826087
"274",19.3870967741935
"275",0
"276",0
"277",3.66666666666667
"278",1.24
"279",3.22222222222222
"280",0
"281",14.92
"282",0
"283",2.73684210526316
"284",0
"285",0
"286",3.63888888888889
"287",0
"288",0
"289",12.4166666666667
"290",0
"291",13.3928571428571
"292",0
"293",0
"294",51.1
"295",1.5
"296",0
"297",0
"298",47.0689655172414
"299",29.32
"300",15.3611111111111
"301",11.3333333333333
"302",0
"303",30.1388888888889
"304",18.4210526315789
"305",21.5666666666667
"306",12.3214285714286
"307",0
"308",5.58620689655172
"309",0
"310",0
"311",33.3809523809524
"312",8.83333333333333
"313",2.8
"314",0
"315",0
"316",10.6071428571429
"317",0
"318",0
"319",0
"320",15.1290322580645
"321",0
"322",0
"323",0
"324",0
"325",31.48
"326",0.289473684210526
"327",0
"328",72
"329",0.75
"330",1.04
"331",0
"332",30.8666666666667
"333",14.5666666666667
"334",0
"335",0
"336",0
"337",1.5
"338",4.96
"339",0
"340",23.2333333333333
"341",0
"342",0
"343",20.8333333333333
"344",0
"345",0
"346",4
"347",0
"348",35.7391304347826
"349",0
"350",16.5
"351",1.03030303030303
"352",0
"353",46.0645161290323
"354",0
"355",20.3666666666667
"356",18.1
