"","V1"
"1",27
"2",28
"3",89
"4",518
"5",23
"6",94
"7",32
"8",47
"9",306
"10",42
"11",53
"12",295
"13",133
"14",154
"15",104
"16",125
"17",71
"18",18
"19",43
"20",41
"21",107
"22",471
"23",32
"24",82
"25",456
"26",323
"27",49
"28",115
"29",14
"30",17
"31",60
"32",31
"33",35
"34",59
"35",96
"36",40
"37",38
"38",36
"39",302
"40",35
"41",229
"42",108
"43",243
"44",80
"45",174
"46",52
"47",28
"48",21
"49",357
"50",13
"51",49
"52",55
"53",53
"54",31
"55",92
"56",260
"57",NA
"58",437
"59",11
"60",341
"61",370
"62",55
"63",55
"64",67
"65",27
"66",400
"67",81
"68",21
"69",17
"70",58
"71",46
"72",16
"73",106
"74",82
"75",66
"76",383
"77",66
"78",62
"79",41
"80",100
"81",78
"82",51
"83",63
"84",181
"85",16
"86",38
"87",55
"88",38
"89",44
"90",39
"91",54
"92",19
"93",20
"94",77
"95",82
"96",32
"97",76
"98",11
"99",152
"100",44
"101",83
"102",89
"103",39
"104",41
"105",32
"106",41
"107",654
"108",43
"109",31
"110",12
"111",12
"112",18
"113",50
"114",19
"115",74
"116",132
"117",45
"118",69
"119",48
"120",75
"121",10
"122",14
"123",77
"124",61
"125",175
"126",275
"127",80
"128",71
"129",103
"130",42
"131",170
"132",26
"133",131
"134",75
"135",126
"136",19
"137",23
"138",70
"139",243
"140",36
"141",20
"142",34
"143",82
"144",88
"145",NA
"146",108
"147",60
"148",103
"149",19
"150",113
"151",389
"152",13
"153",19
"154",109
"155",34
"156",13
"157",31
"158",18
"159",85
"160",19
"161",168
"162",26
"163",34
"164",194
"165",23
"166",63
"167",187
"168",161
"169",28
"170",23
"171",15
"172",75
"173",55
"174",77
"175",20
"176",126
"177",67
"178",41
"179",61
"180",176
"181",52
"182",51
"183",270
"184",194
"185",71
"186",21
"187",107
"188",19
"189",12
"190",709
"191",87
"192",91
"193",49
"194",34
"195",146
"196",97
"197",33
"198",116
"199",98
"200",59
"201",100
"202",52
"203",192
"204",124
"205",345
"206",46
"207",70
"208",71
"209",47
"210",31
"211",265
"212",68
"213",109
"214",53
"215",85
"216",65
"217",83
"218",669
"219",27
"220",543
"221",16
"222",12
"223",334
"224",127
"225",69
"226",105
"227",119
"228",49
"229",0
"230",24
"231",28
"232",6
"233",60
"234",97
"235",51
"236",46
"237",99
"238",1276
"239",23
"240",169
"241",246
"242",92
"243",162
"244",105
"245",161
"246",50
"247",132
"248",314
"249",329
"250",58
